del r,delta x,VEC,delta H,delta S,omega,upper lamda,gama parameter,D.x,e1/a,Ec,eta,D.r,A,F,W,G,del G,D.G,meu,Hardness
0.013171695,0.097005511,8.141,-3.633336,11.47010569,5945.444945,66112.57901,1.159800194,0.10118232,1.735,414.544,-0.001870601,1.674624,1.913615438,222.2055,12436.73293,76.9231,0.043755213,3.5773728,1.274493192,140
0.012295185,0.093680307,8.6,-3.84,11.07573654,5316.122795,73265.99721,1.160051536,0.0928,1.8,417.6,-0.000707164,1.44,1.795524887,223.2947977,13739.9069,77.26,0.038817843,3.008,1.229518523,125
0.047987012,0.118135576,8.008,-11.369644,12.26773008,1832.62526,5327.418354,1.158743006,0.12105808,2.002,406.549,-0.037293547,5.153148,6.462876331,205.1215002,12978.19855,70.4418,0.249535127,14.1343488,4.426082011,242
0.049152794,0.11954959,7.854,-11.715704,12.63646147,1829.330277,5230.329704,1.158607348,0.12474616,2.002,404.866,-0.039344315,5.430964,6.564265334,203.364064,12602.90908,69.8159,0.259116134,14.952938,4.466022821,265
0.050386011,0.120638015,7.672,-12.02734,12.98423751,1827.875037,5114.421302,1.158447384,0.12806896,2.002,402.877,-0.041660051,5.737452,6.661506343,201.2856414,12171.08732,69.0762,0.270009083,15.8708784,4.496195673,335
0.013303508,0.096781927,8.009,-3.450336,11.2760106,6173.560377,63712.28122,1.159892971,0.10104232,1.715,412.856,6.78E-05,1.705924,1.923012763,221.2162045,11967.1244,76.6669,0.04485684,3.6681328,1.273677812,170
0.030788296,0.099872199,7.441,-4.947736,10.32886711,3908.554371,10896.35816,1.159175963,0.10554832,1.735,406.894,-0.016125992,3.161124,4.31709332,214.2967484,10860.52021,74.0781,0.150920249,8.1622428,2.786648714,475
0.040206455,0.104383907,7.2,-6.96,10.92321615,2858.001437,6757.078524,1.158804223,0.1116,1.8,402.3,-0.027157403,4.38,5.463223943,207.4492754,10493.44936,71.57,0.209502149,11.922,3.518064795,620
0.051630158,0.121129713,7.462,-12.25588,13.25883768,1828.144449,4973.917176,1.15826329,0.13050856,2.002,400.582,-0.044211139,6.061692,6.746141186,198.885504,11688.22249,68.2227,0.282057522,16.8634284,4.510410584,503
0.053646205,0.119694037,7.038,-12.309696,13.3203131,1823.057131,4628.458996,1.157818259,0.13109724,2.004,396.267,-0.050149277,6.641766,6.85052182,194.2354624,10811.59342,66.5373,0.305115974,18.714393,4.484554522,555
0.054289483,0.117909923,6.85,-12.105,13.07582603,1813.263034,4436.471783,1.157804499,0.128925,2,393.575,-0.050253369,6.80625,6.839394896,191.6776076,10323.04968,65.6975,0.314276016,19.285875,4.444951412,548
0.05480166,0.115844047,6.688,-11.898096,12.6070832,1779.28488,4197.852588,1.157514631,0.12673024,2.004,392.442,-0.054185767,7.004816,6.856067436,190.2217288,10090.97354,65.1148,0.32261755,19.967248,4.409889618,615
0.055251179,0.112805142,6.5,-11.5,11.52565132,1676.849471,3775.568718,1.157500934,0.1225,2,389.75,-0.054443361,7.125,6.817400616,187.6642336,9629.822342,64.275,0.331296107,20.4375,4.351030337,720
0.05480166,0.122422637,6.876,-13.150928,12.6070832,1602.62516,4197.852588,1.157514631,0.13478416,2.004,393.194,-0.054561029,7.004816,6.851174702,190.3580481,10539.82322,65.3404,0.323601056,20.0746336,4.492311315,550
0.054289483,0.122024332,6.975,-12.8925,13.07582603,1697.472193,4436.471783,1.157804499,0.1339875,2,394.075,-0.050504741,6.80625,6.836026497,191.7655624,10625.33087,65.8475,0.314895277,19.353375,4.499240895,539
0.050386011,0.116539447,7.506,-11.251124,12.98423751,1961.58564,5114.421302,1.158447384,0.123079,2.002,402.213,-0.041376071,5.737452,6.666813944,201.1917802,11723.15503,68.877,0.269391986,15.8043456,4.429283051,532
0.057558189,0.119172012,7.44,-13.50888,12.6070832,1487.874187,3805.40051,1.157912007,0.1240456,2.192,398.646,-0.055290482,6.82584,7.344383307,194.0112763,11790.90835,66.412,0.32495505,19.564552,5.037492731,438
0.056071972,0.119978904,7.35,-13.1175,13.07582603,1617.019646,4158.890354,1.158069613,0.1272375,2.125,397.7,-0.051031332,6.69375,7.156691161,194.194019,11449.5875,66.56,0.315752929,19.03275,4.853730092,476
0.05451258,0.120670006,7.29,-12.79278,13.3203131,1724.583835,4482.506873,1.157951771,0.1302921,2.067,398.346,-0.050548424,6.58809,7.006634724,195.5044372,11388.9467,66.972,0.305818516,18.593622,4.685765068,510
0.048388199,0.118611689,7.008,-11.029348,12.98423751,2081.54292,5545.459477,1.158093526,0.12973228,1.836,397.399,-0.040665514,5.84834,6.291297447,197.9479857,10617.85483,67.9308,0.268515024,16.1203764,4.016704393,617
0.056699803,0.131624466,7,-15.5,11.52565132,1228.740392,3585.109103,1.157632747,0.14,2,393.5,-0.053459856,7.25,7.022103839,187.6470588,11127.84011,63.8,0.32832969,19.725,4.528896766,712
0.055850813,0.12925417,7.064,-14.761712,12.6070832,1420.844169,4041.621329,1.157613749,0.13925856,2.004,395.262,-0.053442801,7.094304,7.007341982,190.2229533,11244.21484,64.7576,0.320528973,19.4571664,4.541564707,665
0.05496541,0.126383345,7.1,-13.905,13.07582603,1568.815367,4328.029322,1.157870677,0.1368,2,395.45,-0.049761842,6.8625,6.937940035,191.6837482,11092.56033,65.46,0.312969279,18.96525,4.531210964,587
0.053973574,0.123743287,7.164,-13.168512,13.3203131,1698.891941,4572.482766,1.157851611,0.13485456,2.004,397.212,-0.049907407,6.668604,6.899208067,194.2432662,11208.62778,66.4176,0.304500227,18.5614164,4.527222437,558
0.049640065,0.111871275,7.34,-10.253132,12.98423751,2161.556562,5269.285984,1.158358741,0.1203068,2.002,400.387,-0.042195849,5.682008,6.544531934,201.2313135,11077.06679,69.3916,0.271276746,16.1869092,4.392550062,510
0.046822691,0.107986922,6.959,-8.714136,11.2760106,2290.127316,5143.310392,1.15843456,0.11632432,1.865,397.706,-0.03656726,5.441524,6.157785832,200.574756,10136.77603,69.0619,0.256087734,15.2060428,3.956049169,655
0.051592664,0.110862863,6.741,-10.254936,11.47010569,1928.675355,4309.149059,1.157865381,0.12040632,1.935,394.344,-0.047445801,6.373824,6.594455234,194.6007926,9971.61018,66.7831,0.295395053,18.0914928,4.218216188,695
0.060880285,0.114437756,5.8,-13.76,11.07573654,1227.658464,2988.266056,1.156223037,0.1216,2.2,377.2,-0.072862785,8.48,6.733860897,167.5882353,8826.257394,56.98,0.421060583,24.752,4.261619956,775
0.03228285,0.103900526,8.487,0.142884,14.44695461,174406.7069,13862.21324,1.159079865,0.10579086,1.683,395.883,-0.031154385,3.338496,4.26213538,200.6287561,11842.75575,68.604,0.22841405,15.233022,2.834466501,185
0.045551658,0.115759621,7.982,-3.614752,14.858228,6782.931574,7160.752105,1.158637887,0.12109488,1.79,388.438,-0.043441305,5.1944,5.693647555,189.8208011,10966.0447,64.8276,0.290070068,19.0036608,3.777052381,273
0.052197211,0.122964408,7.614,-6.231528,14.85995892,3812.232897,5454.098883,1.157841551,0.13166472,1.89,384.726,-0.056695228,6.48402,6.288426155,182.5825702,10682.01916,62.1082,0.332582881,21.6168132,4.144249786,475
0.056288019,0.12727438,7.263,-8.08794,14.64227529,2801.740578,4621.43284,1.157397779,0.13730682,1.971,380.067,-0.063014416,7.339416,6.513431001,175.2093181,10211.26213,59.4932,0.366482884,23.2023036,4.278621154,558
0.054092499,0.12500831,7.469,-7.067368,14.79069778,3301.986538,5054.923397,1.15762483,0.13446972,1.925,382.921,-0.059943898,6.87764,6.412930698,179.5850989,10507.72082,61.0302,0.347204502,22.3689312,4.219268981,510
0.058708935,0.129792773,6.973,-9.37354,14.34587321,2304.600923,4162.158215,1.156967961,0.14032362,2.041,376.457,-0.068062535,7.903256,6.566388569,169.1836945,9877.838789,57.3372,0.392599292,24.1715676,4.298844342,603
