Al,Co,Fe,Ni,Si,Mn,Cr,Mo,Ti,Cu,Zr,V,Nb,Sn,Zn,Ta,Hf,W,HV
0.166666667,0.166666667,0.166666667,0.166666667,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,648.8
0,0.294129413,0.294129413,0.294129413,0.058805881,0,0,0,0,0.058805881,0,0,0,0,0,0,0,0,130.1
0,0.294129413,0.294129413,0.294129413,0.058805881,0,0,0,0,0.058805881,0,0,0,0,0,0,0,0,153.8
0.075483666,0.273496141,0.302040385,0.273496141,0,0.075483666,0,0,0,0,0,0,0,0,0,0,0,0,150.6
0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0.2,0,0,0.2,0,0,421.7
0.0385,0,0,0,0,0,0,0.1923,0.1923,0,0,0.1923,0.1923,0,0,0.1923,0,0,473.6
0.074092591,0,0,0,0,0,0,0.185181482,0.185181482,0,0,0.185181482,0.185181482,0,0,0.185181482,0,0,510
0.107089291,0,0,0,0,0,0,0.178582142,0.178582142,0,0,0.178582142,0.178582142,0,0,0.178582142,0,0,532
0.166666667,0,0,0,0,0,0,0.166666667,0.166666667,0,0,0.166666667,0.166666667,0,0,0.166666667,0,0,574.8
0,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,131.8
0,0.2381,0.2381,0.2381,0,0,0.2381,0,0,0,0,0,0,0,0,0,0,0.0476,158
0,0.227277272,0.227277272,0.227277272,0,0,0.227277272,0,0,0,0,0,0,0,0,0,0,0.090890911,250.76
0,0.2174,0.2174,0.2174,0,0,0.2174,0,0,0,0,0,0,0,0,0,0,0.1304,334.1
0,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,131.8
0,0.2381,0.2381,0.2381,0,0,0.2381,0,0,0,0,0,0,0,0,0,0,0.0476,161
0,0.227277272,0.227277272,0.227277272,0,0,0.227277272,0,0,0,0,0,0,0,0,0,0,0.090890911,308.28
0,0.2174,0.2174,0.2174,0,0,0.2174,0,0,0,0,0,0,0,0,0,0,0.1304,371.48
0,0.2,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,675
0,0.1923,0.1923,0.1923,0,0.1923,0.1923,0,0.0385,0,0,0,0,0,0,0,0,0,878.7
0,0.185181482,0.185181482,0.185181482,0,0.185181482,0.185181482,0,0.074092591,0,0,0,0,0,0,0,0,0,895.9
0,0.178582142,0.178582142,0.178582142,0,0.178582142,0.178582142,0,0.107089291,0,0,0,0,0,0,0,0,0,910.1
0,0.172417242,0.172417242,0.172417242,0,0.172417242,0.172417242,0,0.137913791,0,0,0,0,0,0,0,0,0,916.7
0,0.246924692,0.246924692,0.246924692,0.01230123,0,0.246924692,0,0,0,0,0,0,0,0,0,0,0,285
0,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,645
0,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,790
0.111111111,0.222222222,0.222222222,0.222222222,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,206.2
0,0,0.35,0.25,0,0,0.25,0.15,0,0,0,0,0,0,0,0,0,0,567.29
0,0,0.35,0.25,0,0,0.25,0.15,0,0,0,0,0,0,0,0,0,0,565.65
0,0,0.35,0.25,0,0,0.25,0.15,0,0,0,0,0,0,0,0,0,0,565.52
0,0,0.35,0.25,0,0,0.25,0.15,0,0,0,0,0,0,0,0,0,0,561.68
0,0,0.35,0.25,0,0,0.25,0.15,0,0,0,0,0,0,0,0,0,0,546.4
0,0,0.35,0.25,0,0,0.25,0.15,0,0,0,0,0,0,0,0,0,0,533
0,0,0.35,0.25,0,0,0.25,0.15,0,0,0,0,0,0,0,0,0,0,531.68
0.2,0,0.2,0,0,0,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,822.5
0.2,0,0.2,0,0,0,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,864.9
0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,690
0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,846.25
0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,853
0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,893
0,0.244675532,0.250874913,0.243975602,0,0,0.260473953,0,0,0,0,0,0,0,0,0,0,0,113
0.058805881,0.232123212,0.238223822,0.225922592,0,0,0.244924492,0,0,0,0,0,0,0,0,0,0,0,113
0.080291971,0.226277372,0.232176782,0.226877312,0,0,0.234376562,0,0,0,0,0,0,0,0,0,0,0,196
0.121,0.2263,0.2166,0.2206,0,0,0.2155,0,0,0,0,0,0,0,0,0,0,0,209
0.1566,0.2119,0.2092,0.2069,0,0,0.2154,0,0,0,0,0,0,0,0,0,0,0,280
0.173265347,0.211457708,0.201759648,0.204259148,0,0,0.209258148,0,0,0,0,0,0,0,0,0,0,0,361
0.2012,0.1958,0.2033,0.1927,0,0,0.207,0,0,0,0,0,0,0,0,0,0,0,433
0.250294118,0.188627451,0.187352941,0.186862745,0,0,0.186862745,0,0,0,0,0,0,0,0,0,0,0,499
0.2744,0.1869,0.1795,0.1766,0,0,0.1826,0,0,0,0,0,0,0,0,0,0,0,517.3
0.3013,0.1765,0.1729,0.1697,0,0,0.1796,0,0,0,0,0,0,0,0,0,0,0,512.4
0.285642871,0.142871426,0.142871426,0.142871426,0,0,0.142871426,0,0.142871426,0,0,0,0,0,0,0,0,0,643
0.25,0.125,0.25,0,0,0,0.25,0.125,0,0,0,0,0,0,0,0,0,0,801
0.222222222,0.222222222,0.222222222,0,0,0,0.222222222,0.111111111,0,0,0,0,0,0,0,0,0,0,796
0.2,0.3,0.2,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,741
0.1786,0.3571,0.1786,0,0,0,0.1786,0.1071,0,0,0,0,0,0,0,0,0,0,586
0,0.193,0.194,0.193,0,0.207,0.213,0,0,0,0,0,0,0,0,0,0,0,176
0.024,0.193,0.195,0.182,0,0.197,0.209,0,0,0,0,0,0,0,0,0,0,0,180
0.046,0.193,0.191,0.18,0,0.181,0.209,0,0,0,0,0,0,0,0,0,0,0,171
0.076,0.182,0.183,0.177,0,0.182,0.2,0,0,0,0,0,0,0,0,0,0,0,182
0.093,0.18,0.175,0.178,0,0.184,0.19,0,0,0,0,0,0,0,0,0,0,0,183
0.104,0.176,0.174,0.176,0,0.18,0.19,0,0,0,0,0,0,0,0,0,0,0,220
0.119,0.171,0.176,0.176,0,0.179,0.179,0,0,0,0,0,0,0,0,0,0,0,278
0.131,0.17,0.172,0.172,0,0.173,0.182,0,0,0,0,0,0,0,0,0,0,0,405
0.12,0.176,0.176,0.176,0,0.176,0.176,0,0,0,0,0,0,0,0,0,0,0,486
0.13,0.174,0.174,0.174,0,0.174,0.174,0,0,0,0,0,0,0,0,0,0,0,530
0.14,0.169,0.168,0.172,0,0.172,0.179,0,0,0,0,0,0,0,0,0,0,0,539
0.15,0.17,0.17,0.17,0,0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,533
0.16,0.168,0.168,0.168,0,0.168,0.168,0,0,0,0,0,0,0,0,0,0,0,535
0.213,0.154,0.155,0.155,0,0.159,0.164,0,0,0,0,0,0,0,0,0,0,0,539
0,0.2,0.2,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,119
0.1,0.18,0.18,0.18,0,0,0.18,0,0,0.18,0,0,0,0,0,0,0,0,203
0.166666667,0.166666667,0.166666667,0.166666667,0,0,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,410
0.2308,0.15384,0.15384,0.15384,0,0,0.15384,0,0,0.15384,0,0,0,0,0,0,0,0,504
0.285,0.143,0.143,0.143,0,0,0.143,0,0,0.143,0,0,0,0,0,0,0,0,575
0.335,0.133,0.133,0.133,0,0,0.133,0,0,0.133,0,0,0,0,0,0,0,0,612
0.375,0.125,0.125,0.125,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0,0,640
0.2174,0,0.2174,0.1304,0,0,0.2174,0,0,0.2174,0,0,0,0,0,0,0,0,496
0.2083,0,0.2083,0.1668,0,0,0.2083,0,0,0.2083,0,0,0,0,0,0,0,0,486
0.2,0,0.2,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,495
0.1923,0,0.1923,0.2308,0,0,0.1923,0,0,0.1923,0,0,0,0,0,0,0,0,407
0.1852,0,0.1852,0.2592,0,0,0.1852,0,0,0.1852,0,0,0,0,0,0,0,0,367
0.25,0,0,0.25,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,537
0.225,0,0.15,0.2,0,0,0,0,0.225,0.2,0,0,0,0,0,0,0,0,516
0.2,0,0.2,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,516
0.25,0,0,0.25,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,521
0.225,0,0.15,0.2,0,0,0,0,0.225,0.2,0,0,0,0,0,0,0,0,434
0.2,0,0.2,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,365
0.25,0,0,0.25,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,518
0.225,0,0.15,0.2,0,0,0,0,0.225,0.2,0,0,0,0,0,0,0,0,575
0.2,0,0.2,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,544
0.25,0,0,0.25,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,416
0.225,0,0.15,0.2,0,0,0,0,0.225,0.2,0,0,0,0,0,0,0,0,516
0.2,0,0.2,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,449
0,0,0,0,0,0,0.183881612,0.100389961,0.193980602,0,0.184781522,0,0.218378162,0,0,0.118588141,0,0,540
0,0,0,0,0,0,0,0,0.245,0,0.242,0.23,0.283,0,0,0,0,0,335
0,0,0,0,0,0,0.246,0,0.239,0,0.248,0,0.267,0,0,0,0,0,418
0,0,0,0,0,0,0.202,0,0.199,0,0.203,0.196,0.2,0,0,0,0,0,481
0,0,0,0,0,0,0,0,0.245,0,0.242,0.23,0.283,0,0,0,0,0,310
0,0,0,0,0,0,0.246,0,0.239,0,0.248,0,0.267,0,0,0,0,0,397
0,0,0,0,0,0,0.202,0,0.199,0,0.203,0.196,0.2,0,0,0,0,0,449
0,0,0,0,0,0,0,0,0.375,0,0.25,0,0.125,0,0,0.125,0.125,0,301
0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0.2,0.2,0,390
0.07,0,0.35,0.114,0,0.233,0.233,0,0,0,0,0,0,0,0,0,0,0,297
0.111,0,0.333,0.112,0,0.222,0.222,0,0,0,0,0,0,0,0,0,0,0,396
0.07,0,0.35,0.114,0,0.233,0.233,0,0,0,0,0,0,0,0,0,0,0,857
0.111,0,0.333,0.112,0,0.222,0.222,0,0,0,0,0,0,0,0,0,0,0,870
0,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,648
0,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,674
0,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,676
0,0.208320832,0.208320832,0.208320832,0,0,0.208320832,0,0,0,0,0,0.166716672,0,0,0,0,0,713
0,0.222222222,0.222222222,0.222222222,0,0,0.222222222,0,0,0,0,0,0.111111111,0,0,0,0,0,550
0,0.2353,0.2353,0.2353,0,0,0.2353,0,0,0,0,0,0.0588,0,0,0,0,0,408
0,0.243902439,0.243902439,0.243902439,0,0,0.243902439,0,0,0,0,0,0.024390244,0,0,0,0,0,307
0.217326109,0.217326109,0.217326109,0,0,0.108962953,0.217326109,0.021732611,0,0,0,0,0,0,0,0,0,0,235
0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,455
0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,455
0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,455
0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,455
0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,455
0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,455
0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,455
0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0,0,0.2,0,0.2,553
0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0,0,0.2,0,0.2,553
0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0,0,0.2,0,0.2,553
0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0,0,0.2,0,0.2,553
0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0,0,0.2,0,0.2,553
0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0,0,0.2,0,0.2,553
0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0,0,0.2,0,0.2,553
0.2,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,543
0.1,0,0.36,0.15,0,0.21,0.18,0,0,0,0,0,0,0,0,0,0,0,420
0.1,0,0.36,0.15,0,0.21,0.18,0,0,0,0,0,0,0,0,0,0,0,420
0.1,0,0.36,0.15,0,0.21,0.18,0,0,0,0,0,0,0,0,0,0,0,420
0.1,0,0.36,0.15,0,0.21,0.18,0,0,0,0,0,0,0,0,0,0,0,420
0.1,0,0.36,0.15,0,0.21,0.18,0,0,0,0,0,0,0,0,0,0,0,420
0.1,0,0.36,0.15,0,0.21,0.18,0,0,0,0,0,0,0,0,0,0,0,420
0.1,0,0.36,0.15,0,0.21,0.18,0,0,0,0,0,0,0,0,0,0,0,420
0.1,0,0.36,0.15,0,0.21,0.18,0,0,0,0,0,0,0,0,0,0,0,420
0.1,0,0.36,0.15,0,0.21,0.18,0,0,0,0,0,0,0,0,0,0,0,420
0.1,0,0.36,0.15,0,0.21,0.18,0,0,0,0,0,0,0,0,0,0,0,310
0.093781244,0.226554689,0.226554689,0.226554689,0,0,0.226554689,0,0,0,0,0,0,0,0,0,0,0,178
0.124975005,0.218756249,0.218756249,0.218756249,0,0,0.218756249,0,0,0,0,0,0,0,0,0,0,0,272
0.156315632,0.210921092,0.210921092,0.210921092,0,0,0.210921092,0,0,0,0,0,0,0,0,0,0,0,529
0.187518752,0.203120312,0.203120312,0.203120312,0,0,0.203120312,0,0,0,0,0,0,0,0,0,0,0,531
0.2188,0.1953,0.1953,0.1953,0,0,0.1953,0,0,0,0,0,0,0,0,0,0,0,527
0.25,0.1875,0.1875,0.1875,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,517
0.2,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0.2,802.93
0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0.2,0.2,0,542
0,0,0,0,0,0,0,0.166666667,0.166666667,0,0.166666667,0,0.166666667,0,0,0.166666667,0.166666667,0,505
0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0.2,0,0,0,0.2,0,607
0,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0.111111111,0,0,0,0.222222222,0,499
0,0,0,0,0,0,0,0.181818182,0.181818182,0,0.181818182,0,0.272727273,0,0,0,0.181818182,0,544
0,0,0,0,0,0,0,0.222222222,0.111111111,0,0.222222222,0,0.222222222,0,0,0,0.222222222,0,652
0,0,0,0,0,0,0,0.181818182,0.272727273,0,0.181818182,0,0.181818182,0,0,0,0.181818182,0,596
0,0,0,0,0,0,0,0.222222222,0.222222222,0,0.111111111,0,0.222222222,0,0,0,0.222222222,0,598
0,0,0,0,0,0,0,0.181818182,0.181818182,0,0.272727273,0,0.181818182,0,0,0,0.181818182,0,631
0,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0.222222222,0,0,0,0.111111111,0,622
0,0,0,0,0,0,0,0.181818182,0.181818182,0,0.181818182,0,0.181818182,0,0,0,0.272727273,0,616
0,0,0,0,0,0,0,0.125,0.25,0,0.25,0,0.25,0,0,0,0.125,0,584
0,0,0,0,0,0,0,0.272727273,0.181818182,0,0.181818182,0,0.181818182,0,0,0,0.181818182,0,646
0.090909091,0.181818182,0.181818182,0.181818182,0,0,0.181818182,0,0,0.181818182,0,0,0,0,0,0,0,0,225
0.087261785,0.17552658,0.17552658,0.17552658,0,0,0.17552658,0,0.035105316,0.17552658,0,0,0,0,0,0,0,0,275
0.084337349,0.169678715,0.169678715,0.169678715,0,0,0.169678715,0,0.067269076,0.169678715,0,0,0,0,0,0,0,0,320
0.081488934,0.163983903,0.163983903,0.163983903,0,0,0.163983903,0,0.098591549,0.163983903,0,0,0,0,0,0,0,0,455
0.079396985,0.15879397,0.15879397,0.15879397,0,0,0.15879397,0,0.126633166,0.15879397,0,0,0,0,0,0,0,0,590
0.076458753,0.153923541,0.153923541,0.153923541,0,0,0.153923541,0,0.153923541,0.153923541,0,0,0,0,0,0,0,0,635
0.074148297,0.149298597,0.149298597,0.149298597,0,0,0.149298597,0,0.179358717,0.149298597,0,0,0,0,0,0,0,0,650
0.072434608,0.144869215,0.144869215,0.144869215,0,0,0.144869215,0,0.203219316,0.144869215,0,0,0,0,0,0,0,0,655
0.07,0.141,0.141,0.141,0,0,0.141,0,0.225,0.141,0,0,0,0,0,0,0,0,660
0.068068068,0.137137137,0.137137137,0.137137137,0,0,0.137137137,0,0.246246246,0.137137137,0,0,0,0,0,0,0,0,665
0.066198596,0.133400201,0.133400201,0.133400201,0,0,0.133400201,0,0.266800401,0.133400201,0,0,0,0,0,0,0,0,700
0,0.2,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,181.2
0,0.246924692,0.246924692,0.246924692,0.01230123,0,0.246924692,0,0,0,0,0,0,0,0,0,0,0,285
0,0.246924692,0.246924692,0.246924692,0.01230123,0,0.246924692,0,0,0,0,0,0,0,0,0,0,0,275
0,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,238
0.111111111,0.222222222,0.222222222,0.222222222,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,262
0,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,160
0,0.2,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,170
0,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,524
0,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,650
0,0.196080392,0.196080392,0.196080392,0,0.196080392,0.196080392,0,0.01959804,0,0,0,0,0,0,0,0,0,140
0.13,0.2,0.2,0.235,0,0,0.235,0,0,0,0,0,0,0,0,0,0,0,386
0,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,636
0,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,134
0,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,587
0,0.2,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,135
0,0.272727273,0.181818182,0.272727273,0,0,0.181818182,0,0.090909091,0,0,0,0,0,0,0,0,0,442
0,0.203,0.208,0.207,0,0.181,0.201,0,0,0,0,0,0,0,0,0,0,0,400
0,0.169,0.24,0.207,0,0.185,0.199,0,0,0,0,0,0,0,0,0,0,0,352
0,0.169,0.24,0.207,0,0.185,0.199,0,0,0,0,0,0,0,0,0,0,0,424
